O*NET-SOC 2000 Occupation Listings,,
O*NET-SOC 2000 occupations,,
,,
O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2000 Description
11-1011.00,Chief Executives,"Determine and formulate policies and provide the overall direction of companies or private and public sector organizations within the guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11-1011.01,Government Service Executives,"Determine and formulate policies and provide overall direction of Federal, State, local, or international government activities. Plan, direct, and coordinate operational activities at the highest level of management with the help of subordinate managers."
11-1011.02,Private Sector Executives,"Determine and formulate policies and business strategies and provide overall direction of private sector organizations. Plan, direct, and coordinate operational activities at the highest level of management with the help of subordinate managers."
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of companies or public and private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Includes owners and managers who head small business establishments whose duties are primarily managerial."
11-1031.00,Legislators,"Develop laws and statutes at the Federal, State, or local level."
11-2011.00,Advertising and Promotions Managers,"Plan and direct advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2021.00,Marketing Managers,Determine the demand for products and services offered by a firm and its competitors and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.
11-2022.00,Sales Managers,"Direct the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
11-2031.00,Public Relations Managers,"Plan and direct public relations programs designed to create and maintain a favorable public image for employer or client; or if engaged in fundraising, plan and direct activities to solicit and maintain funds for special projects and nonprofit organizations."
11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate supportive services of an organization, such as recordkeeping, mail distribution, telephone operator/receptionist, and other office support services. May oversee facilities planning and maintenance and custodial operations."
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
11-3031.00,Financial Managers,"Plan, direct, and coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
11-3031.01,"Treasurers, Controllers, and Chief Financial Officers","Plan, direct, and coordinate the financial activities of an organization at the highest level of management. Includes financial reserve officers."
11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department."
11-3040.00,Human Resources Managers,"Plan, direct, and coordinate human resource management activities of an organization to maximize the strategic use of human resources and maintain functions such as employee compensation, recruitment, personnel policies, and regulatory compliance."
11-3041.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities and staff of an organization."
11-3042.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11-3049.99,"Human Resources Managers, All Other",All Human Resources Managers not listed separately.
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services."
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations."
11-3071.01,Transportation Managers,"Plan, direct, and coordinate the transportation operations within an organization or the activities of organizations that provide transportation services."
11-3071.02,Storage and Distribution Managers,"Plan, direct, and coordinate the storage and distribution operations within an organization or the activities of organizations that are engaged in storing and distributing materials and products."
11-9011.00,"Farm, Ranch, and Other Agricultural Managers","On a paid basis, manage farms, ranches, aquacultural operations, greenhouses, nurseries, timber tracts, cotton gins, packing houses, or other agricultural establishments for employers. Carry out production, financial, and marketing decisions relating to the managed operations following guidelines from the owner. May contract tenant farmers or producers to carry out the day-to-day activities of the managed operation. May supervise planting, cultivating, harvesting, and marketing activities. May prepare cost, production, and other records. May perform physical work and operate machinery."
11-9011.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants."
11-9011.02,Agricultural Crop Farm Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in agricultural crop production for corporations, cooperatives, or other owners."
11-9011.03,Fish Hatchery Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners."
